sentence_ID,verb,agent,patient
12,hold,Captain Crewe,Sara
12,hold,Lavinia,Sara
18,prepare,136,Sara
19,know,Sara,158
19,miss,Sara,158
22,hear,Sara,164
22,know,Sara,159
22,think,164,Sara
29,see,Sara,172
30,attract,Sara,Sara
30,attract,136,Sara
39,console,Sara,Sara
46,hold,136,Sara
49,lift,Captain Crewe,Sara
49,lift,Lavinia,Sara
58,hear,Captain Crewe,Sara
58,hear,Lavinia,Sara
64,sweep,Captain Crewe,Sara
64,kiss,Captain Crewe,Sara
64,kiss,Lavinia,Sara
64,sweep,Lavinia,Sara
68,see,Miss Minchin,Sara
103,ride,Sara,Sara
116,call,Sara,Ram Dass
116,call,Sara,Emily
118,want,Sara,Emily
118,want,Sara,Ram Dass
128,want,Lavinia,226
128,want,Captain Crewe,Lavinia
130,find,223,Ram Dass
130,discover,223,Ram Dass
133,put,Sara,Sara
139,clutch,Sara,136
139,clutch,Sara,Sara
147,have,Lavinia,223
151,take,Sara,Sara
163,pull,Lavinia,Captain Crewe
163,pull,Captain Crewe,Lavinia
174,stroke,Captain Crewe,Sara
174,stroke,Lavinia,Sara
202,pass,Lavinia,Sara
215,think,Lavinia,Sara
228,wish,Sara,Ram Dass
228,wish,Sara,Emily
230,dressed,Mariette,Sara
230,tie,Mariette,Sara
238,pretend,Emily,Ram Dass
238,pretend,Ram Dass,Emily
260,wish,1843,Sara
260,wish,Sara,Sara
266,love,Lavinia,Sara
266,love,Captain Crewe,Sara
322,noticed,Sara,325
336,see,Sara,1865
373,tuck,Sara,Sara
379,shake,Ermengarde,Michin
379,shake,Michin,Ermengarde
398,think,Sara,164
423,pretend,Sara,Sara
423,believe,Sara,Sara
437,hold,Michin,Emily
437,hold,Ermengarde,Ram Dass
449,shut,Sara,Sara
449,draw,Sara,Sara
478,lift,Michin,Ermengarde
478,shake,Michin,Ermengarde
478,lift,Ermengarde,Michin
478,shake,Ermengarde,Michin
484,have,Ermengarde,Michin
484,have,Michin,Ermengarde
496,remove,Lavinia,Sara
