sentence_ID,verb,agent,patient
725,think,Sara,protag
727,see,Sara,protag
743,take,protag,Becky
743,take,Becky,protag
765,open,protag,Becky
765,open,Becky,protag
766,know,protag,Becky
766,know,Becky,protag
767,find,protag,Becky
767,find,Becky,protag
810,lose,protag,Becky
810,lose,Becky,protag
815,think,Sara,protag
829,call,protag,1955
829,see,protag,1955
834,watch,protag,Becky
834,watch,Becky,protag
992,get,protag,Becky
992,get,Becky,protag
1011,lose,protag,Becky
1011,lose,Becky,protag
1018,make,Sara,protag
1062,see,Sara,protag
1070,know,protag,Becky
1070,know,Becky,protag
1095,forget,protag,Becky
1095,forget,Becky,protag
1096,drop,protag,Becky
1096,drop,Becky,protag
1121,know,Sara,protag
1121,enjoy,protag,Becky
1121,enjoy,Becky,protag
1131,let,Sara,protag
1406,let,2176,protag
1407,let,2176,protag
1558,rub,protag,Becky
1558,rub,Becky,protag
1584,describe,protag,736
3141,drive,Sara,protag
3152,box,Miss Minchin,protag
3156,hear,1400,protag
3156,throw,protag,Becky
3156,throw,Becky,protag
3161,clench,protag,Becky
3161,shutting,protag,Becky
3161,clench,Becky,protag
3161,shutting,Becky,protag
3244,rub,protag,Becky
3244,rub,Becky,protag
3253,drop,protag,Becky
3253,drop,Becky,protag
3295,see,protag,Sara
3305,know,protag,Becky
3305,know,Becky,protag
3320,find,Sara,protag
3321,shut,protag,Becky
3321,twist,protag,Becky
3321,shut,Becky,protag
3321,twist,Becky,protag
3418,box,Miss Minchin,protag
3560,remember,protag,Sara
3565,draw,Sara,protag
3583,crammed,protag,Becky
3583,crammed,Becky,protag
3635,duck,protag,Becky
3635,duck,Becky,protag
3765,have,protag,Becky
3765,have,Becky,protag
3856,turn,protag,Becky
3856,turn,Becky,protag
3901,take,protag,Monkey
4429,accompany,protag,1254
