sentence_ID,verb,agent,patient
379,shake,protag,Ermengarde
379,shake,Ermengarde,protag
437,hold,protag,Emily
478,lift,protag,Ermengarde
478,shake,protag,Ermengarde
478,lift,Ermengarde,protag
478,shake,Ermengarde,protag
484,have,protag,Ermengarde
484,have,Ermengarde,protag
888,want,Sara,protag
888,say,protag,Ermengarde
888,say,Ermengarde,protag
1652,find,protag,Ermengarde
1652,find,Ermengarde,protag
1656,bring,protag,Ermengarde
1656,bring,Ermengarde,protag
1656,besiege,protag,Sara
1658,forgot,Sara,protag
1660,see,protag,Sara
1666,imagine,protag,Sara
1669,lose,protag,Ermengarde
1669,lose,Ermengarde,protag
1670,know,protag,Sara
1689,know,protag,1775
1724,like,Sara,protag
1729,think,Sara,protag
1741,think,Sara,protag
1746,desert,protag,Sara
1752,beg,protag,Sara
1954,hear,protag,Ermengarde
1954,hear,Ermengarde,protag
1956,hear,protag,Ermengarde
1956,hear,Ermengarde,protag
1958,find,Sara,protag
1961,draw,Sara,protag
1963,control,protag,Ermengarde
1963,control,Ermengarde,protag
1964,see,protag,1775
1975,tuck,protag,Ermengarde
1975,tuck,Ermengarde,protag
1983,see,protag,2331
1984,tuck,protag,Ermengarde
1984,tuck,Ermengarde,protag
1984,watch,protag,Sara
1993,think,protag,Sara
2011,think,Papa,protag
2011,like,Papa,protag
2013,believe,protag,Ermengarde
2013,believe,Ermengarde,protag
2986,find,protag,Ermengarde
2986,find,Ermengarde,protag
2987,make,Melchisedec,protag
2990,coax,protag,1371
2991,like,protag,1371
2992,think,protag,1371
3008,hug,protag,Ermengarde
3008,hug,Ermengarde,protag
3025,expect,1756,protag
3050,make,Sara,protag
3071,believe,Sara,protag
3077,hold,protag,Ermengarde
3077,hold,Ermengarde,protag
3090,reach,protag,Sara
3099,spread,protag,Ermengarde
3099,spread,Ermengarde,protag
3101,let,protag,Ermengarde
3101,let,Ermengarde,protag
3112,love,protag,1390
3220,clutch,Sara,protag
3611,take,protag,Ermengarde
3611,take,Ermengarde,protag
4324,answer,protag,1658
4335,see,protag,Sara
