sentence_ID,verb,agent,patient
116,call,Sara,protag
118,want,Sara,protag
130,find,223,protag
130,discover,223,protag
228,wish,Sara,protag
238,pretend,protag,Emily
238,pretend,Emily,protag
437,hold,Ermengarde,protag
1036,take,1775,protag
1438,watch,protag,Sara
1440,hear,protag,1756
1449,hold,Sara,protag
1525,hold,Sara,protag
1556,lay,Sara,protag
2140,understand,protag,Emily
2140,understand,Emily,protag
2142,put,Sara,protag
2174,knock,1006,protag
2190,pick,Sara,protag
2195,do,protag,Emily
2195,do,Emily,protag
2196,kiss,Sara,protag
2196,shake,Sara,protag
2196,put,Sara,protag
3469,see,Sara,protag
3469,pick,Sara,protag
