sentence_ID,verb,agent,patient
12,hold,Captain Crewe,protag
18,prepare,136,protag
19,know,protag,158
19,miss,protag,158
22,know,protag,159
22,hear,protag,164
22,think,164,protag
22,hear,protag,164
29,see,protag,172
30,attract,protag,Sara
30,attract,136,protag
39,console,protag,Sara
39,console,Sara,protag
46,hold,136,protag
49,lift,Captain Crewe,protag
58,hear,Captain Crewe,protag
64,sweep,Captain Crewe,protag
64,kiss,Captain Crewe,protag
68,see,Miss Minchin,protag
103,ride,protag,Sara
103,ride,Sara,protag
116,call,protag,Emily
118,want,protag,Emily
133,put,protag,Sara
133,put,Sara,protag
139,clutch,protag,136
139,clutch,Sara,protag
151,take,protag,Sara
151,take,Sara,protag
174,stroke,Captain Crewe,protag
202,pass,Lavinia,protag
215,think,Lavinia,protag
228,wish,protag,Emily
230,dressed,Mariette,protag
230,tie,Mariette,protag
260,wish,protag,Sara
260,wish,1843,protag
266,love,Captain Crewe,protag
322,noticed,protag,325
336,see,protag,1865
373,tuck,protag,Sara
373,tuck,Sara,protag
398,think,protag,164
423,pretend,protag,Sara
423,pretend,Sara,protag
423,believe,protag,Sara
423,believe,Sara,protag
449,draw,protag,Sara
449,draw,Sara,protag
449,shut,protag,Sara
449,shut,Sara,protag
496,tell,protag,Sara
496,tell,Sara,protag
496,remove,Captain Crewe,protag
517,make,protag,Sara
517,make,Sara,protag
520,show,Miss Minchin,protag
524,learn,protag,Sara
524,learn,Sara,protag
526,say,protag,Sara
526,say,Sara,protag
527,hear,protag,291
527,hear,Sara,protag
537,share,protag,Sara
537,share,Sara,protag
539,pat,protag,164
540,push,protag,164
545,adore,414,protag
550,worship,Lottie,protag
550,find,protag,Sara
550,find,Sara,protag
557,take,protag,268
558,make,Miss Minchin,protag
570,quiet,protag,Lottie
571,see,Miss Minchin,protag
575,think,Lottie,protag
577,change,protag,Sara
577,change,Sara,protag
581,leave,protag,Sara
581,leave,Sara,protag
591,try,Miss Minchin,protag
619,like,Lottie,protag
619,know,Lottie,protag
630,see,protag,Sara
630,see,453,protag
630,think,453,protag
643,put,protag,Sara
643,put,Sara,protag
647,pull,protag,Sara
647,pull,Sara,protag
656,wash,protag,Sara
656,brush,protag,Sara
656,wash,Sara,protag
656,brush,Sara,protag
664,finish,protag,Sara
664,finish,Sara,protag
664,lay,protag,Sara
664,lay,Sara,protag
677,do,protag,Sara
677,do,Sara,protag
678,raise,protag,Sara
678,raise,Sara,protag
704,put,protag,Lottie
710,see,protag,503
723,leave,Mariette,protag
725,think,protag,Becky
727,hope,protag,Sara
727,hope,Sara,protag
727,see,protag,Becky
728,enter,protag,Sara
728,enter,Sara,protag
728,find,protag,Sara
728,find,Sara,protag
732,save,Sara,protag
732,save,protag,Sara
744,make,Mariette,protag
745,make,Mariette,protag
789,have,protag,Sara
789,have,Sara,protag
798,put,protag,Sara
798,put,Sara,protag
832,believe,protag,Sara
832,believe,Sara,protag
832,pretend,protag,Sara
832,pretend,Sara,protag
835,leave,protag,Sara
835,leave,Sara,protag
887,learn,protag,Sara
887,learn,Sara,protag
888,want,protag,Ermengarde
895,think,Lavinia,protag
908,curl,protag,Sara
908,curl,Sara,protag
928,put,protag,Sara
928,put,Sara,protag
932,pat,protag,Lottie
941,want,protag,Sara
941,want,Sara,protag
959,box,protag,Sara
959,box,Sara,protag
966,save,protag,Sara
966,save,Sara,protag
969,hold,protag,Sara
969,hold,Sara,protag
972,pretend,protag,Sara
972,pretend,Sara,protag
981,call,1775,protag
1015,make,Nature,protag
1018,make,protag,Becky
1036,respect,protag,The Last Doll
1051,think,protag,Sara
1051,think,Sara,protag
1062,see,protag,Becky
1084,lead,Miss Minchin,protag
1121,know,protag,Becky
1131,let,protag,Becky
1149,feel,protag,Sara
1149,feel,Sara,protag
1155,cause,protag,Miss Minchin
1155,call,Miss Minchin,protag
1156,exhibit,Sara,protag
1156,exhibit,protag,Sara
1157,appreciate,Miss Minchin,protag
1187,reveal,protag,492
1363,change,protag,Sara
1363,change,Sara,protag
1438,watch,Emily,protag
1449,hold,protag,Emily
1455,give,protag,Sara
1455,give,2200,protag
1457,know,protag,Sara
1457,know,Sara,protag
1472,have,protag,1775
1472,keep,Miss Minchin,protag
1476,turn,protag,Sara
1476,turn,Sara,protag
1491,wear,protag,Sara
1491,wear,Sara,protag
1500,make,protag,Sara
1500,make,Sara,protag
1500,let,268,protag
1504,know,protag,Sara
1504,know,Sara,protag
1505,like,protag,414
1505,like,414,protag
1509,please,protag,Miss Minchin
1524,stop,Miss Minchin,protag
1524,stare,Miss Minchin,protag
1525,hold,protag,Emily
1556,lay,protag,Emily
1556,put,protag,Sara
1556,put,Sara,protag
1563,hold,protag,Sara
1563,hold,Sara,protag
1595,keep,protag,414
1599,hear,protag,414
1606,want,protag,746
1606,earn,protag,Sara
1606,earn,Sara,protag
1616,drop,protag,Sara
1616,drop,Sara,protag
1630,like,Lavinia,protag
1630,find,protag,164
1634,think,protag,459
1637,take,protag,Sara
1637,take,Sara,protag
1649,help,protag,Sara
1649,help,Sara,protag
1656,besiege,Ermengarde,protag
1658,forgot,protag,Ermengarde
1660,see,Ermengarde,protag
1660,meet,protag,Sara
1660,meet,Sara,protag
1660,encounter,protag,Sara
1660,encounter,Sara,protag
1666,imagine,Ermengarde,protag
1667,make,protag,Sara
1667,make,Sara,protag
1670,know,Ermengarde,protag
1684,make,protag,Sara
1684,make,Sara,protag
1724,like,protag,Ermengarde
1729,think,protag,Ermengarde
1737,see,protag,Sara
1737,see,Sara,protag
1739,want,Miss Minchin,protag
1746,desert,Ermengarde,protag
1747,clasp,protag,Sara
1747,clasp,Sara,protag
1752,beg,Ermengarde,protag
1752,let,protag,817
1801,console,protag,Lottie
1817,see,protag,Sara
1817,see,Sara,protag
1836,hug,protag,Lottie
1845,lift,protag,Lottie
1893,make,protag,Lottie
1906,let,protag,Sara
1906,let,Sara,protag
1911,lift,protag,Sara
1911,lift,Sara,protag
1911,leave,protag,Sara
1911,leave,Sara,protag
1920,like,protag,164
1921,see,164,protag
1933,make,protag,1887
1943,watch,protag,886
1958,find,protag,Ermengarde
1961,draw,protag,Ermengarde
1981,make,protag,2331
1982,know,2331,protag
1982,call,protag,2331
1984,watch,Ermengarde,protag
1993,think,Ermengarde,protag
2001,hear,protag,2324
2053,have,protag,1775
2054,look,164,protag
2056,see,1775,protag
2057,know,protag,Sara
