sentence_ID,verb,agent,patient
179,pick,Christopher Robin,Christopher Robin
179,trail,Christopher Robin,Pooh
179,pick,Christopher Robin,Christopher Robin
283,look,Christopher Robin,Christopher Robin
283,look,Christopher Robin,Christopher Robin
285,say,Christopher Robin,175
324,meet,185,Christopher Robin
324,like,Pooh,Christopher Robin
774,see,Piglet,Christopher Robin
1082,shake,Christopher Robin,Christopher Robin
1082,shake,Christopher Robin,Christopher Robin
1129,put,Christopher Robin,Christopher Robin
1129,put,Christopher Robin,Christopher Robin
1130,spruce,Christopher Robin,Christopher Robin
1130,spruce,Christopher Robin,Christopher Robin
1352,think,Christopher Robin,Eeyore
1355,see,Pooh,Christopher Robin
1428,find,Pooh,Christopher Robin
1458,expect,Christopher Robin,Piglet
1461,love,Christopher Robin,Pooh
1485,think,Christopher Robin,Pooh
1505,open,Christopher Robin,Christopher Robin
1505,open,Christopher Robin,Christopher Robin
1569,say,Christopher Robin,675
1657,pick,Christopher Robin,Christopher Robin
1657,trail,Christopher Robin,Pooh
1657,pick,Christopher Robin,Christopher Robin
