sentence_ID,verb,agent,patient
21,think,Piglet,Pooh
22,take,116,Pooh
53,put,Pooh,Pooh
91,put,Pooh,Pooh
96,put,Pooh,Pooh
99,think,466,Pooh
99,notice,466,Pooh
106,take,Pooh,Pooh
149,think,Pooh,472
150,think,Pooh,Pooh
155,get,Pooh,Pooh
179,trail,Christopher Robin,Pooh
179,pick,Christopher Robin,Christopher Robin
199,take,Pooh,Edward Bear
204,take,Pooh,Pooh
220,shake,Pooh,Rabbit
283,look,Christopher Robin,Christopher Robin
285,say,Christopher Robin,175
324,like,Pooh,Christopher Robin
324,meet,185,Christopher Robin
335,suppose,Piglet,Piglet
349,fit,Pooh,Pooh
349,scratch,Pooh,Pooh
364,shake,Eeyore,Eeyore
392,find,Pooh,Eeyore
405,spell,Owl,Owl
405,write,Owl,Owl
405,read,Owl,Owl
438,see,Pooh,516
454,wave,Eeyore,Eeyore
455,wipe,Pooh,Pooh
465,say,Piglet,Pooh
468,nod,Pooh,Pooh
471,help,Piglet,Pooh
479,rub,Pooh,Pooh
496,catch,Piglet,Piglet
508,put,Pooh,Pooh
528,think,Piglet,Heffalumps
552,count,Pooh,Heffalumps
559,polish,Pooh,Pooh
565,push,Pooh,Pooh
576,see,Piglet,Piglet
579,waste,Piglet,Piglet
594,find,Piglet,Piglet
595,lift,Piglet,Piglet
613,bump,Pooh,Pooh
694,find,Pooh,Piglet
715,cheer,Eeyore,Eeyore
731,eat,Pooh,Eeyore
737,call,Pooh,Owl
768,get,Piglet,Eeyore
770,put,Piglet,Piglet
774,see,Piglet,Christopher Robin
802,push,Piglet,Piglet
818,hurt,Eeyore,Eeyore
818,burst,Eeyore,Piglet
839,open,Piglet,Piglet
875,nod,Pooh,Pooh
877,call,Pooh,Pooh
878,find,Pooh,Rabbit
889,carry,Rabbit,Rabbit
906,steal,569,Kanga
938,take,Kanga,Kanga
941,capture,290,Kanga
962,shutting,Piglet,Piglet
995,make,Pooh,Pooh
1017,pick,Rabbit,Kanga
1035,look,Pooh,Kanga
1044,unbuttoned,Kanga,Kanga
1045,think,Kanga,Kanga
1045,know,Kanga,Kanga
1056,see,Kanga,Piglet
1081,say,Kanga,Piglet
1082,shake,Christopher Robin,Christopher Robin
1129,put,Christopher Robin,Christopher Robin
1130,spruce,Christopher Robin,Christopher Robin
1278,suppose,Rabbit,Rabbit
1287,washing,Kanga,Piglet
1287,wash,Piglet,Piglet
1309,say,Kanga,Piglet
1310,think,Pooh,Kanga
1352,think,Christopher Robin,Eeyore
1355,see,Pooh,Christopher Robin
1373,imagine,Piglet,Piglet
1386,get,Owl,Bear
1417,dangle,Pooh,Pooh
1417,take,Pooh,Pooh
1428,find,Pooh,Christopher Robin
1435,drop,Pooh,Pooh
1441,see,Pooh,Pooh
1458,expect,Christopher Robin,Piglet
1461,love,Christopher Robin,Pooh
1485,think,Christopher Robin,Pooh
1486,rescue,Owl,Pooh
1497,pretend,Pooh,Pooh
1505,open,Christopher Robin,Christopher Robin
1512,comfort,Owl,Piglet
1527,expect,Owl,Owl
1569,say,Christopher Robin,675
1591,drink,Kanga,448
1602,put,Eeyore,Eeyore
1624,have,Eeyore,Eeyore
1657,trail,Christopher Robin,Pooh
1657,pick,Christopher Robin,Christopher Robin
1660,hear,0,Pooh
