sentence_ID,verb,agent,patient
21,think,Piglet,Pooh
335,suppose,Piglet,Piglet
335,suppose,Piglet,Piglet
471,help,Piglet,Pooh
496,catch,Piglet,Piglet
496,catch,Piglet,Piglet
528,think,Piglet,Heffalumps
576,see,Piglet,Piglet
576,see,Piglet,Piglet
579,waste,Piglet,Piglet
579,waste,Piglet,Piglet
594,find,Piglet,Piglet
594,find,Piglet,Piglet
595,lift,Piglet,Piglet
595,lift,Piglet,Piglet
694,find,Pooh,Piglet
768,get,Piglet,Eeyore
770,put,Piglet,Piglet
770,put,Piglet,Piglet
774,see,Piglet,Christopher Robin
802,push,Piglet,Piglet
802,push,Piglet,Piglet
818,burst,Eeyore,Piglet
839,open,Piglet,Piglet
839,open,Piglet,Piglet
962,shutting,Piglet,Piglet
962,shutting,Piglet,Piglet
1056,see,Kanga,Piglet
1081,say,Kanga,Piglet
1287,washing,Kanga,Piglet
1287,wash,Piglet,Piglet
1287,wash,Piglet,Piglet
1309,say,Kanga,Piglet
1373,imagine,Piglet,Piglet
1373,imagine,Piglet,Piglet
1458,expect,Christopher Robin,Piglet
1512,comfort,Owl,Piglet
