sentence_ID,verb,agent,patient
220,shake,Pooh,Rabbit
694,find,Pooh,Piglet
731,eat,Pooh,Eeyore
737,call,Pooh,Owl
875,nod,Pooh,Pooh
875,nod,Pooh,Pooh
877,call,Pooh,Pooh
878,find,Pooh,Rabbit
995,make,Pooh,Pooh
995,make,Pooh,Pooh
1035,look,Pooh,Kanga
1310,think,Pooh,Kanga
1355,see,Pooh,Christopher Robin
1417,take,Pooh,Pooh
1417,take,Pooh,Pooh
1417,dangle,Pooh,Pooh
1417,dangle,Pooh,Pooh
1428,find,Pooh,Christopher Robin
1435,drop,Pooh,Pooh
1435,drop,Pooh,Pooh
1441,see,Pooh,Pooh
1441,see,Pooh,Pooh
1461,love,Christopher Robin,Pooh
1485,think,Christopher Robin,Pooh
1486,rescue,Owl,Pooh
1497,pretend,Pooh,Pooh
1497,pretend,Pooh,Pooh
