dataset,term,component,E,P,A
usfullsurveyor2015,abandon,behavior,-3.31,-0.08,-0.11
usfullsurveyor2015,abandoned,modifier,-3.25,-0.59,-1.23
usfullsurveyor2015,abduct,behavior,-3.81,1.98,1.35
usfullsurveyor2015,abet,behavior,0.03,0.34,-0.18
usfullsurveyor2015,abhor,behavior,-2.13,0.9,0.62
usfullsurveyor2015,able_bodied,modifier,2.98,2.76,1.57
usfullsurveyor2015,abort,behavior,-1.85,1.33,-0.21
usfullsurveyor2015,abortionist,identity,-0.69,1,-0.21
usfullsurveyor2015,absent_minded,modifier,-1.6,-1.68,-1.49
usfullsurveyor2015,abuse,behavior,-3.85,0.61,1.51
usfullsurveyor2015,abusive,modifier,-3.69,1.17,1.86
usfullsurveyor2015,abusive_physically,modifier,-3.76,0.43,2.04
usfullsurveyor2015,abusive_verbally,modifier,-3.26,1.2,2.2
usfullsurveyor2015,academic,identity,2.34,2.26,-0.12
usfullsurveyor2015,accept,behavior,2.67,2.4,-0.29
usfullsurveyor2015,acclaim,behavior,1.53,1.27,1.07
usfullsurveyor2015,accommodate,behavior,2.55,1.67,0.41
usfullsurveyor2015,accommodating,modifier,2.4,1.38,-0.38
usfullsurveyor2015,accomplice,identity,-0.14,0.22,0.23
usfullsurveyor2015,accost,behavior,-1.34,0.89,1.4
usfullsurveyor2015,accountant,identity,1.03,1.16,-0.48
usfullsurveyor2015,accounting_clerk,identity,1.06,0.46,-0.87
usfullsurveyor2015,accuse,behavior,-1.73,1.08,1.4
usfullsurveyor2015,accused,identity,-1.46,-1.38,-0.09
usfullsurveyor2015,acknowledge,behavior,2.65,1.97,0.42
usfullsurveyor2015,acquaintance,identity,1.11,0.02,-0.16
usfullsurveyor2015,acquiescent,modifier,0.61,-0.37,-1
usfullsurveyor2015,active,modifier,2.86,2.37,2.65
usfullsurveyor2015,actor,identity,0.82,1.36,1.68
usfullsurveyor2015,adaptive,modifier,2.84,2.71,0.54
usfullsurveyor2015,addict,identity,-2.23,-2.36,0.19
usfullsurveyor2015,address,behavior,1.4,1.31,0.43
usfullsurveyor2015,admire,behavior,2.19,1.38,-0.31
usfullsurveyor2015,admit,behavior,0.92,1.16,0.18
usfullsurveyor2015,admonish,behavior,-0.38,0.58,0.53
usfullsurveyor2015,adolescent,identity,0.66,-0.81,2.17
usfullsurveyor2015,adopt,behavior,3.12,2.88,0.15
usfullsurveyor2015,adopted_child,identity,1.97,-0.1,0.18
usfullsurveyor2015,adopted_daughter,identity,2.01,0.36,0.15
usfullsurveyor2015,adopted_son,identity,1.65,0.41,0.28
usfullsurveyor2015,adore,behavior,2.56,1.54,0.11
usfullsurveyor2015,adult,identity,1.06,1.81,0.29
usfullsurveyor2015,adulterer,identity,-2.98,-0.15,0.21
usfullsurveyor2015,adulteress,identity,-2.43,0.45,0.96
usfullsurveyor2015,adventurous,modifier,2.45,2.2,2.12
usfullsurveyor2015,advertising_copy_writer,identity,0.65,0.55,0.66
usfullsurveyor2015,advertising_executive,identity,0.13,2.13,1.51
usfullsurveyor2015,advise,behavior,2.57,2.28,0.28
usfullsurveyor2015,affable,modifier,1.32,0.9,0.55
usfullsurveyor2015,affected,modifier,-0.07,0.66,0.14
usfullsurveyor2015,affectionate,modifier,2.58,1.87,-0.93
usfullsurveyor2015,afraid,modifier,-1.97,-1.13,-0.61
usfullsurveyor2015,aggravate,behavior,-2.33,0.52,1.91
usfullsurveyor2015,aggravated,modifier,-2.42,-0.31,0.88
usfullsurveyor2015,aggressive,modifier,-0.83,1.46,2.2
usfullsurveyor2015,aggrieved,modifier,-1.46,-0.36,-0.44
usfullsurveyor2015,agitate,behavior,-2.11,0.49,1.55
usfullsurveyor2015,agitated,modifier,-1.97,-0.78,1.1
usfullsurveyor2015,agnostic,identity,0.22,-0.08,-0.28
usfullsurveyor2015,agonized,modifier,-2.75,-0.89,-0.13
usfullsurveyor2015,agree_with,behavior,1.77,1.18,0.13
usfullsurveyor2015,agreeable,modifier,1.99,1.09,-0.54
usfullsurveyor2015,aid,behavior,3.15,2.62,0.43
